  node_modules/@jest/source-map; 29.6.3; https://registry.npmjs.org/@jest/source-map/-/source-map-29.6.3.tgz; Неизвестно; MIT; None
  node_modules/@jest/test-result; 29.7.0; https://registry.npmjs.org/@jest/test-result/-/test-result-29.7.0.tgz; Неизвестно; MIT; None
  node_modules/@jest/test-sequencer; 29.7.0; https://registry.npmjs.org/@jest/test-sequencer/-/test-sequencer-29.7.0.tgz; Неизвестно; MIT; None
  node_modules/@jest/transform; 29.7.0; https://registry.npmjs.org/@jest/transform/-/transform-29.7.0.tgz; Неизвестно; MIT; None
  node_modules/@jest/transform/node_modules/convert-source-map; 2.0.0; https://registry.npmjs.org/convert-source-map/-/convert-source-map-2.0.0.tgz; Неизвестно; MIT; None
  node_modules/@jest/types; 29.6.3; https://registry.npmjs.org/@jest/types/-/types-29.6.3.tgz; Неизвестно; MIT; None
  node_modules/@jridgewell/gen-mapping; 0.3.8; https://registry.npmjs.org/@jridgewell/gen-mapping/-/gen-mapping-0.3.8.tgz; Неизвестно; MIT; None
  node_modules/@jridgewell/resolve-uri; 3.1.2; https://registry.npmjs.org/@jridgewell/resolve-uri/-/resolve-uri-3.1.2.tgz; Неизвестно; MIT; None
  node_modules/@jridgewell/set-array; 1.2.1; https://registry.npmjs.org/@jridgewell/set-array/-/set-array-1.2.1.tgz; Неизвестно; MIT; None
  node_modules/@jridgewell/source-map; 0.3.6; https://registry.npmjs.org/@jridgewell/source-map/-/source-map-0.3.6.tgz; Неизвестно; MIT; None
  node_modules/@jridgewell/sourcemap-codec; 1.5.0; https://registry.npmjs.org/@jridgewell/sourcemap-codec/-/sourcemap-codec-1.5.0.tgz; Неизвестно; MIT; None
  node_modules/@jridgewell/trace-mapping; 0.3.25; https://registry.npmjs.org/@jridgewell/trace-mapping/-/trace-mapping-0.3.25.tgz; Неизвестно; MIT; None
  node_modules/@jsonjoy.com/base64; 1.1.2; https://registry.npmjs.org/@jsonjoy.com/base64/-/base64-1.1.2.tgz; Неизвестно; Apache-2.0; None
  node_modules/@jsonjoy.com/json-pack; 1.1.1; https://registry.npmjs.org/@jsonjoy.com/json-pack/-/json-pack-1.1.1.tgz; Неизвестно; Apache-2.0; None
  node_modules/@jsonjoy.com/util; 1.5.0; https://registry.npmjs.org/@jsonjoy.com/util/-/util-1.5.0.tgz; Неизвестно; Apache-2.0; None
  node_modules/@keyv/serialize; 1.0.3; https://registry.npmjs.org/@keyv/serialize/-/serialize-1.0.3.tgz; Неизвестно; MIT; None
  node_modules/@leichtgewicht/ip-codec; 2.0.5; https://registry.npmjs.org/@leichtgewicht/ip-codec/-/ip-codec-2.0.5.tgz; Неизвестно; MIT; None
  node_modules/@nodelib/fs.scandir; 2.1.5; https://registry.npmjs.org/@nodelib/fs.scandir/-/fs.scandir-2.1.5.tgz; Неизвестно; MIT; None
  node_modules/@nodelib/fs.stat; 2.0.5; https://registry.npmjs.org/@nodelib/fs.stat/-/fs.stat-2.0.5.tgz; Неизвестно; MIT; None
  node_modules/@nodelib/fs.walk; 1.2.8; https://registry.npmjs.org/@nodelib/fs.walk/-/fs.walk-1.2.8.tgz; Неизвестно; MIT; None
  node_modules/@nolyfill/is-core-module; 1.0.39; https://registry.npmjs.org/@nolyfill/is-core-module/-/is-core-module-1.0.39.tgz; Неизвестно; MIT; None
  node_modules/@parcel/watcher; 2.5.1; https://registry.npmjs.org/@parcel/watcher/-/watcher-2.5.1.tgz; Неизвестно; MIT; None
  node_modules/@parcel/watcher-linux-x64-glibc; 2.5.1; https://registry.npmjs.org/@parcel/watcher-linux-x64-glibc/-/watcher-linux-x64-glibc-2.5.1.tgz; Неизвестно; MIT; None
  node_modules/@parcel/watcher-linux-x64-musl; 2.5.1; https://registry.npmjs.org/@parcel/watcher-linux-x64-musl/-/watcher-linux-x64-musl-2.5.1.tgz; Неизвестно; MIT; None
